"Region code","Region","Age","Sex","Population"
"02","Valle D'Aosta/Vallée D'Aoste","11","Total","1230"
"02","Valle D'Aosta/Vallée D'Aoste","11","Males","649"
"02","Valle D'Aosta/Vallée D'Aoste","11","Females","581"
"02","Valle D'Aosta/Vallée D'Aoste","12","Total","1152"
"02","Valle D'Aosta/Vallée D'Aoste","12","Males","587"
"02","Valle D'Aosta/Vallée D'Aoste","12","Females","565"
"02","Valle D'Aosta/Vallée D'Aoste","13","Total","1170"
"02","Valle D'Aosta/Vallée D'Aoste","13","Males","590"
"02","Valle D'Aosta/Vallée D'Aoste","13","Females","580"
"02","Valle D'Aosta/Vallée D'Aoste","14","Total","1189"
"02","Valle D'Aosta/Vallée D'Aoste","14","Males","599"
"02","Valle D'Aosta/Vallée D'Aoste","14","Females","590"
"02","Valle D'Aosta/Vallée D'Aoste","15","Total","1121"
"02","Valle D'Aosta/Vallée D'Aoste","15","Males","604"
"02","Valle D'Aosta/Vallée D'Aoste","15","Females","517"
"02","Valle D'Aosta/Vallée D'Aoste","16","Total","1174"
"02","Valle D'Aosta/Vallée D'Aoste","16","Males","618"
"02","Valle D'Aosta/Vallée D'Aoste","16","Females","556"
"02","Valle D'Aosta/Vallée D'Aoste","17","Total","1216"
"02","Valle D'Aosta/Vallée D'Aoste","17","Males","635"
"02","Valle D'Aosta/Vallée D'Aoste","17","Females","581"
"02","Valle D'Aosta/Vallée D'Aoste","18","Total","1204"
"02","Valle D'Aosta/Vallée D'Aoste","18","Males","627"
"02","Valle D'Aosta/Vallée D'Aoste","18","Females","577"
"02","Valle D'Aosta/Vallée D'Aoste","19","Total","1178"
"02","Valle D'Aosta/Vallée D'Aoste","19","Males","618"
"02","Valle D'Aosta/Vallée D'Aoste","19","Females","560"
"02","Valle D'Aosta/Vallée D'Aoste","20","Total","1119"
"02","Valle D'Aosta/Vallée D'Aoste","20","Males","576"
"02","Valle D'Aosta/Vallée D'Aoste","20","Females","543"
"02","Valle D'Aosta/Vallée D'Aoste","21","Total","1211"
"02","Valle D'Aosta/Vallée D'Aoste","21","Males","637"
"02","Valle D'Aosta/Vallée D'Aoste","21","Females","574"
"02","Valle D'Aosta/Vallée D'Aoste","22","Total","1153"
"02","Valle D'Aosta/Vallée D'Aoste","22","Males","605"
"02","Valle D'Aosta/Vallée D'Aoste","22","Females","548"
"02","Valle D'Aosta/Vallée D'Aoste","23","Total","1126"
"02","Valle D'Aosta/Vallée D'Aoste","23","Males","571"
"02","Valle D'Aosta/Vallée D'Aoste","23","Females","555"
"02","Valle D'Aosta/Vallée D'Aoste","24","Total","1139"
"02","Valle D'Aosta/Vallée D'Aoste","24","Males","582"
"02","Valle D'Aosta/Vallée D'Aoste","24","Females","557"
"02","Valle D'Aosta/Vallée D'Aoste","25","Total","1225"
"02","Valle D'Aosta/Vallée D'Aoste","25","Males","643"
"02","Valle D'Aosta/Vallée D'Aoste","25","Females","582"
"02","Valle D'Aosta/Vallée D'Aoste","26","Total","1161"
"02","Valle D'Aosta/Vallée D'Aoste","26","Males","598"
"02","Valle D'Aosta/Vallée D'Aoste","26","Females","563"
"02","Valle D'Aosta/Vallée D'Aoste","27","Total","1246"
"02","Valle D'Aosta/Vallée D'Aoste","27","Males","617"
"02","Valle D'Aosta/Vallée D'Aoste","27","Females","629"
"02","Valle D'Aosta/Vallée D'Aoste","28","Total","1222"
"02","Valle D'Aosta/Vallée D'Aoste","28","Males","637"
"02","Valle D'Aosta/Vallée D'Aoste","28","Females","585"
"02","Valle D'Aosta/Vallée D'Aoste","29","Total","1294"
"02","Valle D'Aosta/Vallée D'Aoste","29","Males","666"
"02","Valle D'Aosta/Vallée D'Aoste","29","Females","628"
"02","Valle D'Aosta/Vallée D'Aoste","30","Total","1244"
"02","Valle D'Aosta/Vallée D'Aoste","30","Males","630"
"02","Valle D'Aosta/Vallée D'Aoste","30","Females","614"
"02","Valle D'Aosta/Vallée D'Aoste","31","Total","1245"
"02","Valle D'Aosta/Vallée D'Aoste","31","Males","601"
"02","Valle D'Aosta/Vallée D'Aoste","31","Females","644"
"02","Valle D'Aosta/Vallée D'Aoste","32","Total","1280"
"02","Valle D'Aosta/Vallée D'Aoste","32","Males","652"
"02","Valle D'Aosta/Vallée D'Aoste","32","Females","628"
"02","Valle D'Aosta/Vallée D'Aoste","33","Total","1315"
"02","Valle D'Aosta/Vallée D'Aoste","33","Males","660"
"02","Valle D'Aosta/Vallée D'Aoste","33","Females","655"
"02","Valle D'Aosta/Vallée D'Aoste","34","Total","1399"
"02","Valle D'Aosta/Vallée D'Aoste","34","Males","709"
"02","Valle D'Aosta/Vallée D'Aoste","34","Females","690"
"02","Valle D'Aosta/Vallée D'Aoste","35","Total","1392"
"02","Valle D'Aosta/Vallée D'Aoste","35","Males","673"
"02","Valle D'Aosta/Vallée D'Aoste","35","Females","719"
"02","Valle D'Aosta/Vallée D'Aoste","36","Total","1334"
"02","Valle D'Aosta/Vallée D'Aoste","36","Males","669"
"02","Valle D'Aosta/Vallée D'Aoste","36","Females","665"
"02","Valle D'Aosta/Vallée D'Aoste","37","Total","1457"
"02","Valle D'Aosta/Vallée D'Aoste","37","Males","772"
"02","Valle D'Aosta/Vallée D'Aoste","37","Females","685"
"02","Valle D'Aosta/Vallée D'Aoste","38","Total","1432"
"02","Valle D'Aosta/Vallée D'Aoste","38","Males","734"
"02","Valle D'Aosta/Vallée D'Aoste","38","Females","698"
"02","Valle D'Aosta/Vallée D'Aoste","39","Total","1693"
"02","Valle D'Aosta/Vallée D'Aoste","39","Males","869"
"02","Valle D'Aosta/Vallée D'Aoste","39","Females","824"
"02","Valle D'Aosta/Vallée D'Aoste","40","Total","1633"
"02","Valle D'Aosta/Vallée D'Aoste","40","Males","830"
"02","Valle D'Aosta/Vallée D'Aoste","40","Females","803"
"02","Valle D'Aosta/Vallée D'Aoste","41","Total","1772"
"02","Valle D'Aosta/Vallée D'Aoste","41","Males","851"
"02","Valle D'Aosta/Vallée D'Aoste","41","Females","921"
"02","Valle D'Aosta/Vallée D'Aoste","42","Total","1862"
"02","Valle D'Aosta/Vallée D'Aoste","42","Males","918"
"02","Valle D'Aosta/Vallée D'Aoste","42","Females","944"
"02","Valle D'Aosta/Vallée D'Aoste","43","Total","1954"
"02","Valle D'Aosta/Vallée D'Aoste","43","Males","1001"
"02","Valle D'Aosta/Vallée D'Aoste","43","Females","953"
"02","Valle D'Aosta/Vallée D'Aoste","44","Total","2003"
"02","Valle D'Aosta/Vallée D'Aoste","44","Males","998"
"02","Valle D'Aosta/Vallée D'Aoste","44","Females","1005"
"02","Valle D'Aosta/Vallée D'Aoste","45","Total","2027"
"02","Valle D'Aosta/Vallée D'Aoste","45","Males","986"
"02","Valle D'Aosta/Vallée D'Aoste","45","Females","1041"
"02","Valle D'Aosta/Vallée D'Aoste","46","Total","2108"
"02","Valle D'Aosta/Vallée D'Aoste","46","Males","1031"
"02","Valle D'Aosta/Vallée D'Aoste","46","Females","1077"
"02","Valle D'Aosta/Vallée D'Aoste","47","Total","2069"
"02","Valle D'Aosta/Vallée D'Aoste","47","Males","1015"
"02","Valle D'Aosta/Vallée D'Aoste","47","Females","1054"
"02","Valle D'Aosta/Vallée D'Aoste","48","Total","2219"
"02","Valle D'Aosta/Vallée D'Aoste","48","Males","1081"
"02","Valle D'Aosta/Vallée D'Aoste","48","Females","1138"
"02","Valle D'Aosta/Vallée D'Aoste","49","Total","2128"
"02","Valle D'Aosta/Vallée D'Aoste","49","Males","1046"
"02","Valle D'Aosta/Vallée D'Aoste","49","Females","1082"
"02","Valle D'Aosta/Vallée D'Aoste","50","Total","2187"
"02","Valle D'Aosta/Vallée D'Aoste","50","Males","1077"
"02","Valle D'Aosta/Vallée D'Aoste","50","Females","1110"
"02","Valle D'Aosta/Vallée D'Aoste","51","Total","2223"
"02","Valle D'Aosta/Vallée D'Aoste","51","Males","1113"
"02","Valle D'Aosta/Vallée D'Aoste","51","Females","1110"
"02","Valle D'Aosta/Vallée D'Aoste","52","Total","2158"
"02","Valle D'Aosta/Vallée D'Aoste","52","Males","1085"
"02","Valle D'Aosta/Vallée D'Aoste","52","Females","1073"
"02","Valle D'Aosta/Vallée D'Aoste","53","Total","2297"
"02","Valle D'Aosta/Vallée D'Aoste","53","Males","1170"
"02","Valle D'Aosta/Vallée D'Aoste","53","Females","1127"
"02","Valle D'Aosta/Vallée D'Aoste","54","Total","2103"
"02","Valle D'Aosta/Vallée D'Aoste","54","Males","1067"
"02","Valle D'Aosta/Vallée D'Aoste","54","Females","1036"
"02","Valle D'Aosta/Vallée D'Aoste","55","Total","1929"
"02","Valle D'Aosta/Vallée D'Aoste","55","Males","942"
"02","Valle D'Aosta/Vallée D'Aoste","55","Females","987"
"02","Valle D'Aosta/Vallée D'Aoste","56","Total","1940"
"02","Valle D'Aosta/Vallée D'Aoste","56","Males","998"
"02","Valle D'Aosta/Vallée D'Aoste","56","Females","942"
"02","Valle D'Aosta/Vallée D'Aoste","57","Total","1780"
"02","Valle D'Aosta/Vallée D'Aoste","57","Males","868"
"02","Valle D'Aosta/Vallée D'Aoste","57","Females","912"
"02","Valle D'Aosta/Vallée D'Aoste","58","Total","1868"
"02","Valle D'Aosta/Vallée D'Aoste","58","Males","914"
"02","Valle D'Aosta/Vallée D'Aoste","58","Females","954"
"02","Valle D'Aosta/Vallée D'Aoste","59","Total","1679"
"02","Valle D'Aosta/Vallée D'Aoste","59","Males","826"
"02","Valle D'Aosta/Vallée D'Aoste","59","Females","853"
"02","Valle D'Aosta/Vallée D'Aoste","60","Total","1681"
"02","Valle D'Aosta/Vallée D'Aoste","60","Males","829"
"02","Valle D'Aosta/Vallée D'Aoste","60","Females","852"
"02","Valle D'Aosta/Vallée D'Aoste","61","Total","1632"
"02","Valle D'Aosta/Vallée D'Aoste","61","Males","819"
"02","Valle D'Aosta/Vallée D'Aoste","61","Females","813"
"02","Valle D'Aosta/Vallée D'Aoste","62","Total","1650"
"02","Valle D'Aosta/Vallée D'Aoste","62","Males","768"
"02","Valle D'Aosta/Vallée D'Aoste","62","Females","882"
"02","Valle D'Aosta/Vallée D'Aoste","63","Total","1619"
"02","Valle D'Aosta/Vallée D'Aoste","63","Males","783"
"02","Valle D'Aosta/Vallée D'Aoste","63","Females","836"
"02","Valle D'Aosta/Vallée D'Aoste","64","Total","1589"
"02","Valle D'Aosta/Vallée D'Aoste","64","Males","809"
"02","Valle D'Aosta/Vallée D'Aoste","64","Females","780"
"02","Valle D'Aosta/Vallée D'Aoste","65","Total","1508"
"02","Valle D'Aosta/Vallée D'Aoste","65","Males","762"
"02","Valle D'Aosta/Vallée D'Aoste","65","Females","746"
"02","Valle D'Aosta/Vallée D'Aoste","66","Total","1534"
"02","Valle D'Aosta/Vallée D'Aoste","66","Males","754"
"02","Valle D'Aosta/Vallée D'Aoste","66","Females","780"
"02","Valle D'Aosta/Vallée D'Aoste","67","Total","1539"
"02","Valle D'Aosta/Vallée D'Aoste","67","Males","759"
"02","Valle D'Aosta/Vallée D'Aoste","67","Females","780"
"02","Valle D'Aosta/Vallée D'Aoste","68","Total","1595"
"02","Valle D'Aosta/Vallée D'Aoste","68","Males","760"
"02","Valle D'Aosta/Vallée D'Aoste","68","Females","835"
"02","Valle D'Aosta/Vallée D'Aoste","69","Total","1612"
"02","Valle D'Aosta/Vallée D'Aoste","69","Males","765"
"02","Valle D'Aosta/Vallée D'Aoste","69","Females","847"
"02","Valle D'Aosta/Vallée D'Aoste","70","Total","1538"
"02","Valle D'Aosta/Vallée D'Aoste","70","Males","790"
"02","Valle D'Aosta/Vallée D'Aoste","70","Females","748"
"02","Valle D'Aosta/Vallée D'Aoste","71","Total","1475"
"02","Valle D'Aosta/Vallée D'Aoste","71","Males","713"
"02","Valle D'Aosta/Vallée D'Aoste","71","Females","762"
"02","Valle D'Aosta/Vallée D'Aoste","72","Total","1116"
"02","Valle D'Aosta/Vallée D'Aoste","72","Males","511"
"02","Valle D'Aosta/Vallée D'Aoste","72","Females","605"
"02","Valle D'Aosta/Vallée D'Aoste","73","Total","1201"
"02","Valle D'Aosta/Vallée D'Aoste","73","Males","601"
"02","Valle D'Aosta/Vallée D'Aoste","73","Females","600"
"02","Valle D'Aosta/Vallée D'Aoste","74","Total","1256"
"02","Valle D'Aosta/Vallée D'Aoste","74","Males","619"
"02","Valle D'Aosta/Vallée D'Aoste","74","Females","637"
"02","Valle D'Aosta/Vallée D'Aoste","75","Total","1266"
"02","Valle D'Aosta/Vallée D'Aoste","75","Males","607"
"02","Valle D'Aosta/Vallée D'Aoste","75","Females","659"
"02","Valle D'Aosta/Vallée D'Aoste","76","Total","1259"
"02","Valle D'Aosta/Vallée D'Aoste","76","Males","572"
"02","Valle D'Aosta/Vallée D'Aoste","76","Females","687"
"02","Valle D'Aosta/Vallée D'Aoste","77","Total","1292"
"02","Valle D'Aosta/Vallée D'Aoste","77","Males","577"
"02","Valle D'Aosta/Vallée D'Aoste","77","Females","715"
"02","Valle D'Aosta/Vallée D'Aoste","78","Total","1221"
"02","Valle D'Aosta/Vallée D'Aoste","78","Males","551"
"02","Valle D'Aosta/Vallée D'Aoste","78","Females","670"
"02","Valle D'Aosta/Vallée D'Aoste","79","Total","1220"
"02","Valle D'Aosta/Vallée D'Aoste","79","Males","534"
"02","Valle D'Aosta/Vallée D'Aoste","79","Females","686"
"02","Valle D'Aosta/Vallée D'Aoste","80","Total","1033"
"02","Valle D'Aosta/Vallée D'Aoste","80","Males","428"
"02","Valle D'Aosta/Vallée D'Aoste","80","Females","605"
"02","Valle D'Aosta/Vallée D'Aoste","81","Total","944"
"02","Valle D'Aosta/Vallée D'Aoste","81","Males","392"
"02","Valle D'Aosta/Vallée D'Aoste","81","Females","552"
"02","Valle D'Aosta/Vallée D'Aoste","82","Total","882"
"02","Valle D'Aosta/Vallée D'Aoste","82","Males","360"
"02","Valle D'Aosta/Vallée D'Aoste","82","Females","522"
"02","Valle D'Aosta/Vallée D'Aoste","83","Total","794"
"02","Valle D'Aosta/Vallée D'Aoste","83","Males","297"
"02","Valle D'Aosta/Vallée D'Aoste","83","Females","497"
"02","Valle D'Aosta/Vallée D'Aoste","84","Total","792"
"02","Valle D'Aosta/Vallée D'Aoste","84","Males","299"
"02","Valle D'Aosta/Vallée D'Aoste","84","Females","493"
"02","Valle D'Aosta/Vallée D'Aoste","85","Total","683"
"02","Valle D'Aosta/Vallée D'Aoste","85","Males","249"
"02","Valle D'Aosta/Vallée D'Aoste","85","Females","434"
"02","Valle D'Aosta/Vallée D'Aoste","86","Total","650"
"02","Valle D'Aosta/Vallée D'Aoste","86","Males","236"
"02","Valle D'Aosta/Vallée D'Aoste","86","Females","414"
"02","Valle D'Aosta/Vallée D'Aoste","87","Total","650"
"02","Valle D'Aosta/Vallée D'Aoste","87","Males","214"
"02","Valle D'Aosta/Vallée D'Aoste","87","Females","436"
"02","Valle D'Aosta/Vallée D'Aoste","88","Total","524"
"02","Valle D'Aosta/Vallée D'Aoste","88","Males","179"
"02","Valle D'Aosta/Vallée D'Aoste","88","Females","345"
"02","Valle D'Aosta/Vallée D'Aoste","89","Total","462"
"02","Valle D'Aosta/Vallée D'Aoste","89","Males","138"
"02","Valle D'Aosta/Vallée D'Aoste","89","Females","324"
